learning_rate,weight_decay,dropout,hidden_dim,num_gnn_layers,gnn_type,correlation_threshold,anatomic_weight,enable_basal_pattern,enable_sudden_death,trial_id,brugada_f2_mean,brugada_f2_std,brugada_accuracy_mean,brugada_accuracy_std
0.0012,0.01,0.5,64,3,gat,0.6,0.7,True,False,8,0.787690570299266,0.06367487229074822,0.7878787878787877,0.0685679302968773
0.001,0.01,0.5,64,2,gat,0.5,0.8,False,False,6,0.7478213507625272,0.09580174963275868,0.806060606060606,0.0685679302968773
0.0012,0.01,0.5,64,3,gat,0.5,0.8,True,False,9,0.7453416149068323,0.0914260959247189,0.7999999999999999,0.05142594772265797
0.0015,0.005,0.6,96,3,gcn,0.5,0.7,False,True,0,0.7445488967228098,0.06588538853409821,0.7393939393939394,0.04772125984249584
0.0012,0.015,0.4,64,3,gcn,0.6,0.7,False,True,10,0.7440010432968179,0.06329354928205404,0.7393939393939394,0.030903148567229012
0.0012,0.01,0.5,64,3,gat,0.5,0.7,False,False,2,0.7348391423811688,0.08289651315689951,0.787878787878788,0.030903148567229012
0.001,0.01,0.4,32,2,gcn,0.5,0.7,True,True,11,0.7283954053702981,0.10172857902791257,0.7696969696969697,0.059996939009767644
0.0015,0.015,0.4,96,2,gat,0.5,0.8,False,False,7,0.7152758794549839,0.12770282406945388,0.8121212121212121,0.045353422869987135
0.0015,0.01,0.5,96,3,gcn,0.6,0.7,False,False,4,0.7016602539211879,0.11023859187445674,0.793939393939394,0.07618063690894869
0.001,0.01,0.6,96,3,gcn,0.5,0.7,True,True,16,0.6995465526397956,0.05096422729583527,0.7272727272727272,0.05938156952201645
0.0012,0.005,0.6,96,3,gat,0.5,0.7,False,False,14,0.6947238989492511,0.05734460912935388,0.7757575757575758,0.059996939009767644
0.0015,0.005,0.4,96,2,gcn,0.5,0.8,True,True,12,0.6936759634128055,0.06089513114338891,0.8060606060606061,0.07323058165814894
0.0015,0.015,0.6,32,3,gat,0.6,0.7,False,True,1,0.6928560659903944,0.04665978003009522,0.7333333333333334,0.0844144744071765
0.0012,0.005,0.6,96,2,gcn,0.5,0.7,False,True,18,0.6797118651957361,0.09358345380906864,0.7757575757575758,0.11531089448751787
0.0015,0.015,0.6,64,3,gat,0.6,0.7,False,True,19,0.6765801490026435,0.1062621455906508,0.7333333333333334,0.08176204583776994
0.001,0.015,0.4,64,2,gat,0.5,0.8,True,True,13,0.6716116210683994,0.12441682358922368,0.7515151515151516,0.05999693900976769
0.0012,0.015,0.6,32,2,gcn,0.5,0.8,True,True,15,0.6565542300836419,0.1113912273880196,0.8181818181818182,0.0445361771415123
0.001,0.015,0.4,96,2,gcn,0.5,0.7,False,False,5,0.6543478260869565,0.10300226113295628,0.7454545454545455,0.053525823432289996
0.0012,0.01,0.4,96,2,gat,0.5,0.7,False,True,17,0.6408295877072004,0.07886512213959371,0.6424242424242425,0.03428396514843868
0.0012,0.005,0.4,32,2,gcn,0.5,0.8,False,False,3,0.6373626373626373,0.14933199348453857,0.6727272727272727,0.05938156952201646
